,index,Date,Round,Game number,Venue,Home Team,Away Team,Home team score,Away team score,Home team score detail,Away team score detail,Winning team,Margin,Year stage,day,month,year,time,HomeCode,AwayCode,Pos_home,P_home,W_home,D_home,L_home,For_home,Agn_home,Max_home,Min_home,Home_W_home,Home_D_home,Home_L_home,Away_W_home,Away_D_home,Away_L_home,Stk_home,Pts_home,%_home,Stkn_home,Stkd_home,Pos_away,P_away,W_away,D_away,L_away,For_away,Agn_away,Max_away,Min_away,Home_W_away,Home_D_away,Home_L_away,Away_W_away,Away_D_away,Away_L_away,Stk_away,Pts_away,%_away,Stkn_away,Stkd_away,target
10,19,2022-04-01 18:20:00,3,2,M.C.G.,Melbourne,Essendon,99,70,"[3, 5, 4, 8, 9, 12, 14, 15]","[0, 4, 3, 5, 8, 5, 10, 10]",Melbourne,29,Early season,01,04,2022,18:20:00,11,05,4.0,2.0,2.0,0.0,0.0,179,140,97.0,82.0,1.0,0.0,0.0,1.0,0.0,0.0,2W,8.0,127.86,2.0,W,17.0,2.0,0.0,0.0,2.0,147,235,75.0,72.0,0.0,0.0,1.0,0.0,0.0,1.0,2L,0.0,62.55,-2.0,L,1
11,20,2022-04-01 19:20:00,3,3,Adelaide Oval,Adelaide,Port Adelaide,96,92,"[2, 1, 7, 3, 10, 5, 15, 6]","[5, 2, 9, 7, 11, 12, 13, 14]",Adelaide,4,Early season,01,04,2022,19:20:00,01,13,15.0,2.0,0.0,0.0,2.0,140,183,82.0,58.0,0.0,0.0,1.0,0.0,0.0,1.0,2L,0.0,76.5,-2.0,L,18.0,2.0,0.0,0.0,2.0,125,200,69.0,56.0,0.0,0.0,1.0,0.0,0.0,1.0,2L,0.0,62.5,-2.0,L,1
12,21,2022-04-02 15:35:00,3,4,Sydney Showground,Greater Western Sydney,Gold Coast,83,57,"[5, 4, 8, 7, 9, 9, 12, 11]","[1, 4, 3, 5, 4, 6, 8, 9]",Greater Western Sydney,26,Early season,02,04,2022,15:35:00,21,20,16.0,2.0,0.0,0.0,2.0,165,221,92.0,73.0,0.0,0.0,1.0,0.0,0.0,1.0,2L,0.0,74.66,-2.0,L,8.0,2.0,1.0,0.0,1.0,176,162,107.0,69.0,0.0,0.0,1.0,1.0,0.0,0.0,1L,4.0,108.64,-1.0,L,1
13,22,2022-04-02 18:25:00,3,5,M.C.G.,Collingwood,Geelong,91,104,"[3, 7, 4, 11, 13, 12, 13, 13]","[2, 3, 6, 4, 9, 6, 16, 8]",Geelong,13,Early season,02,04,2022,18:25:00,04,09,2.0,2.0,2.0,0.0,0.0,202,143,102.0,100.0,1.0,0.0,0.0,1.0,0.0,0.0,2W,8.0,141.26,2.0,W,7.0,2.0,1.0,0.0,1.0,215,179,138.0,77.0,1.0,0.0,0.0,0.0,0.0,1.0,1L,4.0,120.11,-1.0,L,0
14,23,2022-04-02 19:00:00,3,6,Gabba,Brisbane Lions,North Melbourne,156,48,"[7, 2, 11, 6, 14, 13, 23, 18]","[2, 2, 5, 3, 6, 5, 7, 6]",Brisbane Lions,108,Early season,02,04,2022,19:00:00,19,12,5.0,2.0,2.0,0.0,0.0,177,144,97.0,80.0,1.0,0.0,0.0,1.0,0.0,0.0,2W,8.0,122.92,2.0,W,10.0,2.0,1.0,0.0,1.0,132,137,74.0,58.0,1.0,0.0,0.0,0.0,0.0,1.0,1W,4.0,96.35,1.0,W,1
15,24,2022-04-03 13:10:00,3,7,M.C.G.,Carlton,Hawthorn,74,73,"[7, 1, 9, 5, 10, 6, 11, 8]","[1, 3, 4, 5, 7, 7, 11, 7]",Carlton,1,Early season,03,04,2022,13:10:00,03,10,6.0,2.0,2.0,0.0,0.0,203,166,102.0,101.0,1.0,0.0,0.0,1.0,0.0,0.0,2W,8.0,122.29,2.0,W,1.0,2.0,2.0,0.0,0.0,198,114,120.0,78.0,1.0,0.0,0.0,1.0,0.0,0.0,2W,8.0,173.68,2.0,W,1
16,25,2022-04-03 15:20:00,3,8,Docklands,St Kilda,Richmond,117,84,"[6, 2, 8, 4, 11, 8, 18, 9]","[6, 4, 10, 5, 12, 6, 13, 6]",St Kilda,33,Early season,03,04,2022,15:20:00,15,14,11.0,2.0,1.0,0.0,1.0,150,157,85.0,65.0,0.0,0.0,1.0,1.0,0.0,0.0,1W,4.0,95.54,1.0,W,9.0,2.0,1.0,0.0,1.0,185,174,109.0,76.0,1.0,0.0,0.0,0.0,0.0,1.0,1W,4.0,106.32,1.0,W,1
17,26,2022-04-03 18:20:00,3,9,Perth Stadium,West Coast,Fremantle,47,102,"[1, 2, 1, 2, 4, 4, 7, 5]","[2, 4, 6, 6, 9, 10, 15, 12]",Fremantle,55,Early season,03,04,2022,18:20:00,18,08,14.0,2.0,0.0,0.0,2.0,139,181,80.0,59.0,0.0,0.0,1.0,0.0,0.0,1.0,2L,0.0,76.8,-2.0,L,12.0,2.0,1.0,0.0,1.0,138,147,83.0,55.0,0.0,0.0,1.0,1.0,0.0,0.0,1L,4.0,93.88,-1.0,L,0
18,27,2022-04-07 19:40:00,4,1,Adelaide Oval,Port Adelaide,Melbourne,36,68,"[0, 3, 0, 5, 1, 8, 4, 12]","[1, 3, 6, 6, 9, 7, 10, 8]",Melbourne,32,Regular season,07,04,2022,19:40:00,13,11,16.0,3.0,0.0,0.0,3.0,217,296,92.0,56.0,0.0,0.0,1.0,0.0,0.0,2.0,3L,0.0,73.31,-3.0,L,2.0,3.0,3.0,0.0,0.0,278,210,99.0,82.0,2.0,0.0,0.0,1.0,0.0,0.0,3W,12.0,132.38,3.0,W,0
19,28,2022-04-08 19:50:00,4,2,Kardinia Park,Geelong,Brisbane Lions,80,70,"[2, 2, 7, 6, 9, 8, 11, 14]","[2, 2, 6, 3, 10, 3, 11, 4]",Geelong,10,Regular season,08,04,2022,19:50:00,09,19,7.0,3.0,2.0,0.0,1.0,319,270,138.0,77.0,1.0,0.0,0.0,1.0,0.0,1.0,1W,8.0,118.15,1.0,W,1.0,3.0,3.0,0.0,0.0,333,192,156.0,80.0,2.0,0.0,0.0,1.0,0.0,0.0,3W,12.0,173.44,3.0,W,1
20,29,2022-04-09 14:40:00,4,3,S.C.G.,Sydney,North Melbourne,86,75,"[3, 2, 6, 4, 9, 6, 13, 8]","[4, 0, 6, 1, 11, 1, 12, 3]",Sydney,11,Regular season,09,04,2022,14:40:00,16,12,8.0,3.0,2.0,0.0,1.0,279,240,112.0,60.0,1.0,0.0,0.0,1.0,0.0,1.0,1L,8.0,116.25,-1.0,L,15.0,3.0,1.0,0.0,2.0,180,293,74.0,48.0,1.0,0.0,0.0,0.0,0.0,2.0,1L,4.0,61.43,-1.0,L,1
21,30,2022-04-09 16:35:00,4,4,Docklands,Collingwood,West Coast,74,87,"[1, 2, 6, 6, 9, 10, 10, 14]","[2, 2, 7, 2, 9, 3, 14, 3]",West Coast,13,Regular season,09,04,2022,16:35:00,04,18,6.0,3.0,2.0,0.0,1.0,293,247,102.0,91.0,1.0,0.0,1.0,1.0,0.0,0.0,1L,8.0,118.62,-1.0,L,17.0,3.0,0.0,0.0,3.0,186,283,80.0,47.0,0.0,0.0,2.0,0.0,0.0,1.0,3L,0.0,65.72,-3.0,L,0
22,31,2022-04-09 19:25:00,4,5,Perth Stadium,Fremantle,Greater Western Sydney,88,54,"[3, 5, 5, 7, 7, 10, 13, 10]","[2, 1, 5, 1, 8, 2, 8, 6]",Fremantle,34,Regular season,09,04,2022,19:25:00,08,21,5.0,3.0,2.0,0.0,1.0,240,194,102.0,55.0,0.0,0.0,1.0,2.0,0.0,0.0,1W,8.0,123.71,1.0,W,13.0,3.0,1.0,0.0,2.0,248,278,92.0,73.0,1.0,0.0,1.0,0.0,0.0,1.0,1W,4.0,89.21,1.0,W,1
23,32,2022-04-09 19:25:00,4,6,M.C.G.,Richmond,Western Bulldogs,99,61,"[2, 2, 7, 3, 12, 5, 15, 9]","[2, 7, 4, 10, 6, 17, 7, 19]",Richmond,38,Regular season,09,04,2022,19:25:00,14,07,11.0,3.0,1.0,0.0,2.0,269,291,109.0,76.0,1.0,0.0,0.0,0.0,0.0,2.0,1L,4.0,92.44,-1.0,L,12.0,3.0,1.0,0.0,2.0,232,259,90.0,71.0,1.0,0.0,1.0,0.0,0.0,1.0,1W,4.0,89.58,1.0,W,1
24,33,2022-04-10 13:10:00,4,7,Docklands,Essendon,Adelaide,103,99,"[5, 3, 9, 6, 12, 11, 15, 13]","[4, 2, 8, 4, 12, 6, 15, 9]",Essendon,4,Regular season,10,04,2022,13:10:00,05,01,18.0,3.0,0.0,0.0,3.0,217,334,75.0,70.0,0.0,0.0,1.0,0.0,0.0,2.0,3L,0.0,64.97,-3.0,L,14.0,3.0,1.0,0.0,2.0,236,275,96.0,58.0,1.0,0.0,1.0,0.0,0.0,1.0,1W,4.0,85.82,1.0,W,1
25,34,2022-04-10 15:20:00,4,8,M.C.G.,Hawthorn,St Kilda,73,142,"[3, 3, 5, 8, 7, 11, 10, 13]","[6, 1, 12, 3, 15, 8, 22, 10]",St Kilda,69,Regular season,10,04,2022,15:20:00,10,15,4.0,3.0,2.0,0.0,1.0,271,188,120.0,73.0,1.0,0.0,0.0,1.0,0.0,1.0,1L,8.0,144.15,-1.0,L,9.0,3.0,2.0,0.0,1.0,267,241,117.0,65.0,1.0,0.0,1.0,1.0,0.0,0.0,2W,8.0,110.79,2.0,W,0
26,35,2022-04-10 16:10:00,4,9,Carrara,Gold Coast,Carlton,92,62,"[5, 5, 7, 7, 12, 10, 13, 14]","[3, 2, 5, 5, 6, 9, 8, 14]",Gold Coast,30,Regular season,10,04,2022,16:10:00,20,03,10.0,3.0,1.0,0.0,2.0,233,245,107.0,57.0,0.0,0.0,1.0,1.0,0.0,1.0,2L,4.0,95.1,-2.0,L,3.0,3.0,3.0,0.0,0.0,277,239,102.0,74.0,2.0,0.0,0.0,1.0,0.0,0.0,3W,12.0,115.9,3.0,W,1
27,36,2022-04-14 19:35:00,5,1,Gabba,Brisbane Lions,Collingwood,98,91,"[3, 2, 9, 4, 12, 5, 15, 8]","[5, 2, 7, 3, 9, 5, 14, 7]",Brisbane Lions,7,Regular season,14,04,2022,19:35:00,19,04,2.0,4.0,3.0,0.0,1.0,403,272,156.0,70.0,2.0,0.0,0.0,1.0,0.0,1.0,1L,12.0,148.16,-1.0,L,8.0,4.0,2.0,0.0,2.0,367,334,102.0,74.0,1.0,0.0,2.0,1.0,0.0,0.0,2L,8.0,109.88,-2.0,L,1
